id,title,title_english,type,synopsis,genres,themes,demographics,authors,score,scored_by,rank,popularity,members,favorites,status,chapters,image_url,content
2,Berserk,Berserk,Manga,"Guts, a former mercenary now known as the Black Swordsman, is out for revenge. After a tumultuous childhood, he finally finds someone he respects and believes he can trust, only to have everything fall apart when this person takes away everything important to Guts for the purpose of fulfilling his own desires. Now marked for death, Guts becomes condemned to a fate in which he is relentlessly pursued by demonic beings.

Setting out on a dreadful quest riddled with misfortune, Guts, armed with a massive sword and monstrous strength, will let nothing stop him, not even death itself, until he is finally able to take the head of the one who stripped him—and his loved one—of their humanity.



Included one-shot:
Volume 14: Berserk: The Prototype",Action Adventure Award_Winning Drama Fantasy Horror,Gore Military Psychological,Seinen,"Miura, Kentarou Studio Gaga",9.46,398764,1.0,1,796456,137842,Publishing,,https://myanimelist.net/images/manga/1/157897.jpg,"action adventure award_winning drama fantasy horror action adventure award_winning drama fantasy horror gore military psychological seinen miura, kentarou studio gaga guts, a former mercenary now known as the black swordsman, is out for revenge. after a tumultuous childhood, he finally finds someone he respects and believes he can trust, only to have everything fall apart when this person takes away everything important to guts for the purpose of fulfilling his own desires. now marked for death, guts becomes condemned to a fate in which he is relentlessly pursued by demonic beings.

setting out on a dreadful quest riddled with misfortune, guts, armed with a massive sword and monstrous strength, will let nothing stop him, not even death itself, until he is finally able to take the head of the one who stripped him—and his loved one—of their humanity.



included one-shot:
volume 14: berserk: the prototype"
1706,JoJo no Kimyou na Bouken Part 7: Steel Ball Run,JoJo's Bizarre Adventure Part 7: Steel Ball Run,Manga,"In the American Old West, the world's greatest race is about to begin. Thousands line up in San Diego to travel over six thousand kilometers for a chance to win the grand prize of fifty million dollars. With the era of the horse reaching its end, contestants are allowed to use any kind of vehicle they wish. Competitors will have to endure grueling conditions, traveling up to a hundred kilometers a day through uncharted wastelands. The Steel Ball Run is truly a one-of-a-kind event.

The youthful Johnny Joestar, a crippled former horse racer, has come to San Diego to watch the start of the race. There he encounters Gyro Zeppeli, a racer with two steel balls at his waist instead of a gun. Johnny witnesses Gyro using one of his steel balls to unleash a fantastical power, compelling a man to fire his gun at himself during a duel. In the midst of the action, Johnny happens to touch the steel ball and feels a power surging through his legs, allowing him to stand up for the first time in two years. Vowing to find the secret of the steel balls, Johnny decides to compete in the race, and so begins his bizarre adventure across America on the Steel Ball Run.",Action Adventure Mystery Supernatural,Historical,Seinen Shounen,"Araki, Hirohiko",9.34,201026,2.0,20,324289,51742,Finished,96.0,https://myanimelist.net/images/manga/3/179882.jpg,"action adventure mystery supernatural action adventure mystery supernatural historical seinen shounen araki, hirohiko in the american old west, the world's greatest race is about to begin. thousands line up in san diego to travel over six thousand kilometers for a chance to win the grand prize of fifty million dollars. with the era of the horse reaching its end, contestants are allowed to use any kind of vehicle they wish. competitors will have to endure grueling conditions, traveling up to a hundred kilometers a day through uncharted wastelands. the steel ball run is truly a one-of-a-kind event.

the youthful johnny joestar, a crippled former horse racer, has come to san diego to watch the start of the race. there he encounters gyro zeppeli, a racer with two steel balls at his waist instead of a gun. johnny witnesses gyro using one of his steel balls to unleash a fantastical power, compelling a man to fire his gun at himself during a duel. in the midst of the action, johnny happens to touch the steel ball and feels a power surging through his legs, allowing him to stand up for the first time in two years. vowing to find the secret of the steel balls, johnny decides to compete in the race, and so begins his bizarre adventure across america on the steel ball run."
656,Vagabond,Vagabond,Manga,"In 16th-century Japan, Shinmen Takezou is a wild, rough young man in both his appearance and his actions. His aggressive nature has won him the collective reproach and fear of his village, leading him and his best friend, Matahachi Honiden, to run away in search of something grander than provincial life. The pair enlist in the Toyotomi army, yearning for glory—but when the Toyotomi suffer a crushing defeat at the hands of the Tokugawa Clan at the Battle of Sekigahara, the friends barely make it out alive.

After the two are separated, Shinmen returns home on a self-appointed mission to notify the Hon'iden family of Matahachi's survival. He instead finds himself a wanted criminal, framed for his friend's supposed murder based on his history of violence. Upon being captured, he is strung up on a tree and left to die. An itinerant monk, the distinguished Takuan Soho, takes pity on the ""devil child,"" secretly freeing Shinmen and christening him with a new name to avoid pursuit by the authorities: Musashi Miyamoto.

Vagabond is the fictitious retelling of the life of one of Japan's most renowned swordsmen, the ""Sword Saint"" Musashi Miyamoto—his rise from a swordsman with no desire other than to become ""Invincible Under the Heavens"" to an enlightened warrior who slowly learns of the importance of close friends, self-reflection, and life itself.",Action Adventure Award_Winning,Historical Samurai,Seinen,"Inoue, Takehiko Yoshikawa, Eiji",9.27,175953,3.0,12,458444,48794,On Hiatus,327.0,https://myanimelist.net/images/manga/1/259070.jpg,"action adventure award_winning action adventure award_winning historical samurai seinen inoue, takehiko yoshikawa, eiji in 16th-century japan, shinmen takezou is a wild, rough young man in both his appearance and his actions. his aggressive nature has won him the collective reproach and fear of his village, leading him and his best friend, matahachi honiden, to run away in search of something grander than provincial life. the pair enlist in the toyotomi army, yearning for glory—but when the toyotomi suffer a crushing defeat at the hands of the tokugawa clan at the battle of sekigahara, the friends barely make it out alive.

after the two are separated, shinmen returns home on a self-appointed mission to notify the hon'iden family of matahachi's survival. he instead finds himself a wanted criminal, framed for his friend's supposed murder based on his history of violence. upon being captured, he is strung up on a tree and left to die. an itinerant monk, the distinguished takuan soho, takes pity on the ""devil child,"" secretly freeing shinmen and christening him with a new name to avoid pursuit by the authorities: musashi miyamoto.

vagabond is the fictitious retelling of the life of one of japan's most renowned swordsmen, the ""sword saint"" musashi miyamoto—his rise from a swordsman with no desire other than to become ""invincible under the heavens"" to an enlightened warrior who slowly learns of the importance of close friends, self-reflection, and life itself."
13,One Piece,One Piece,Manga,"Gol D. Roger, a man referred to as the King of the Pirates, is set to be executed by the World Government. But just before his demise, he confirms the existence of a great treasure, One Piece, located somewhere within the vast ocean known as the Grand Line. Announcing that One Piece can be claimed by anyone worthy enough to reach it, the King of the Pirates is executed and the Great Age of Pirates begins.

Twenty-two years later, a young man by the name of Monkey D. Luffy is ready to embark on his own adventure, searching for One Piece and striving to become the new King of the Pirates. Armed with just a straw hat, a small boat, and an elastic body, he sets out on a fantastic journey to gather his own crew and a worthy ship that will take them across the Grand Line to claim the greatest status on the high seas.",Action Adventure Fantasy,,Shounen,"Oda, Eiichiro",9.21,421268,4.0,3,697877,126011,Publishing,,https://myanimelist.net/images/manga/2/253146.jpg,"action adventure fantasy action adventure fantasy  shounen oda, eiichiro gol d. roger, a man referred to as the king of the pirates, is set to be executed by the world government. but just before his demise, he confirms the existence of a great treasure, one piece, located somewhere within the vast ocean known as the grand line. announcing that one piece can be claimed by anyone worthy enough to reach it, the king of the pirates is executed and the great age of pirates begins.

twenty-two years later, a young man by the name of monkey d. luffy is ready to embark on his own adventure, searching for one piece and striving to become the new king of the pirates. armed with just a straw hat, a small boat, and an elastic body, he sets out on a fantastic journey to gather his own crew and a worthy ship that will take them across the grand line to claim the greatest status on the high seas."
162032,Guimi Zhi Zhu,Lord of Mysteries,Novel,"Through the storm of steam and machinery, who can achieve the extraordinary? In the mist of history and darkness, who whispers to me? When I woke up from the haze of mystery, I found myself in a world of guns, cannons, giant ships, airships, difference engines; potions, divination, curses, hanged men, and sealed artifacts. But the light still shines between it all, and the mystery is never more than two steps away. This is the legend of the Fool.

(Source: Yen Press)",Action Fantasy Mystery Suspense,Isekai Urban Fantasy,,Ai Qianshui de Wuzei,9.17,7407,5.0,945,23560,1891,Finished,366.0,https://myanimelist.net/images/manga/2/287344.jpg,"action fantasy mystery suspense action fantasy mystery suspense isekai urban fantasy  ai qianshui de wuzei through the storm of steam and machinery, who can achieve the extraordinary? in the mist of history and darkness, who whispers to me? when i woke up from the haze of mystery, i found myself in a world of guns, cannons, giant ships, airships, difference engines; potions, divination, curses, hanged men, and sealed artifacts. but the light still shines between it all, and the mystery is never more than two steps away. this is the legend of the fool.

(source: yen press)"
1,Monster,Monster,Manga,"Kenzou Tenma, a renowned Japanese neurosurgeon working in post-war Germany, faces a difficult choice: to operate on Johan Liebert, an orphan boy on the verge of death, or on the mayor of Düsseldorf. In the end, Tenma decides to gamble his reputation by saving Johan, effectively leaving the mayor for dead.

As a consequence of his actions, hospital director Heinemann strips Tenma of his position, and Heinemann's daughter Eva breaks off their engagement. Disgraced and shunned by his colleagues, Tenma loses all hope of a successful career—that is, until the mysterious killing of Heinemann gives him another chance.

Nine years later, Tenma is the head of the surgical department and close to becoming the director himself. Although all seems well for him at first, he soon becomes entangled in a chain of gruesome murders that have taken place throughout Germany. The culprit is a monster—the same one that Tenma saved on that fateful day nine years ago.",Award_Winning Drama Mystery,Adult Cast Psychological,Seinen,"Urasawa, Naoki",9.16,117098,6.0,27,289818,23759,Finished,162.0,https://myanimelist.net/images/manga/3/258224.jpg,"award_winning drama mystery award_winning drama mystery adult cast psychological seinen urasawa, naoki kenzou tenma, a renowned japanese neurosurgeon working in post-war germany, faces a difficult choice: to operate on johan liebert, an orphan boy on the verge of death, or on the mayor of düsseldorf. in the end, tenma decides to gamble his reputation by saving johan, effectively leaving the mayor for dead.

as a consequence of his actions, hospital director heinemann strips tenma of his position, and heinemann's daughter eva breaks off their engagement. disgraced and shunned by his colleagues, tenma loses all hope of a successful career—that is, until the mysterious killing of heinemann gives him another chance.

nine years later, tenma is the head of the surgical department and close to becoming the director himself. although all seems well for him at first, he soon becomes entangled in a chain of gruesome murders that have taken place throughout germany. the culprit is a monster—the same one that tenma saved on that fateful day nine years ago."
642,Vinland Saga,Vinland Saga,Manga,"Thorfinn, son of one of the Vikings' greatest warriors, is among the finest fighters in the merry band of mercenaries run by the cunning Askeladd, an impressive feat for a person his age. However, Thorfinn is not part of the group for the plunder it entails—instead, for having caused his family great tragedy, the boy has vowed to kill Askeladd in a fair duel. Not yet skilled enough to defeat him, but unable to abandon his vengeance, Thorfinn spends his boyhood with the mercenary crew, honing his skills on the battlefield among the war-loving Danes, where killing is just another pleasure of life.

One day, when Askeladd receives word that Danish prince Canute has been taken hostage, he hatches an ambitious plot—one that will decide the next King of England and drastically alter the lives of Thorfinn, Canute, and himself. Set in 11th-century Europe, Vinland Saga tells a bloody epic in an era where violence, madness, and injustice are inescapable, providing a paradise for the battle-crazed and utter hell for the rest who live in it.



Included one-shots:
Volume 23: Sayounara ga Chikai node (For Our Farewell Is Near)
Volume 25: ""Assassin's Creed Valhalla"" Collab Bangai-hen (Assassin's Creed x Vinland Saga)",Action Adventure Award_Winning Drama,Historical,Seinen,"Yukimura, Makoto",9.09,159567,8.0,16,360531,38292,Finished,224.0,https://myanimelist.net/images/manga/2/188925.jpg,"action adventure award_winning drama action adventure award_winning drama historical seinen yukimura, makoto thorfinn, son of one of the vikings' greatest warriors, is among the finest fighters in the merry band of mercenaries run by the cunning askeladd, an impressive feat for a person his age. however, thorfinn is not part of the group for the plunder it entails—instead, for having caused his family great tragedy, the boy has vowed to kill askeladd in a fair duel. not yet skilled enough to defeat him, but unable to abandon his vengeance, thorfinn spends his boyhood with the mercenary crew, honing his skills on the battlefield among the war-loving danes, where killing is just another pleasure of life.

one day, when askeladd receives word that danish prince canute has been taken hostage, he hatches an ambitious plot—one that will decide the next king of england and drastically alter the lives of thorfinn, canute, and himself. set in 11th-century europe, vinland saga tells a bloody epic in an era where violence, madness, and injustice are inescapable, providing a paradise for the battle-crazed and utter hell for the rest who live in it.



included one-shots:
volume 23: sayounara ga chikai node (for our farewell is near)
volume 25: ""assassin's creed valhalla"" collab bangai-hen (assassin's creed x vinland saga)"
51,Slam Dunk,Slam Dunk,Manga,"Hanamichi Sakuragi, a tall, boisterous teenager with flame-red hair and physical strength beyond his years, is eager to put an end to his rejection streak of 50 and finally score a girlfriend as he begins his first year of Shohoku High. However, his reputation for delinquency and destructiveness precedes him, and most of his fellow students subsequently avoid him like the plague. As his first day of school ends, he is left with two strong thoughts: ""I hate basketball"" and ""I need a girlfriend.""

Haruko Akagi, ignorant of Hanamichi's history of misbehavior, notices his immense height and unwittingly approaches him, asking whether or not he likes basketball. Overcome by the fact that a girl is speaking to him, the red-haired giant blurts out a yes despite his true feelings. At the gym, Haruko asks if he can do a slam dunk. Though a complete novice, Hanamachi palms the ball and makes the leap...but overshoots, slamming his head into the backboard. Amazed by his near-inhuman physical abilities, Haruko quickly notifies the school's basketball captain of his feat. With this, Hanamichi is unexpectedly thrust into a world of competition for a girl he barely knows, but he soon discovers that there is perhaps more to basketball than he once thought.",Award_Winning Sports,School Team Sports,Shounen,"Inoue, Takehiko",9.09,89531,7.0,50,200880,18138,Finished,276.0,https://myanimelist.net/images/manga/2/258749.jpg,"award_winning sports award_winning sports school team sports shounen inoue, takehiko hanamichi sakuragi, a tall, boisterous teenager with flame-red hair and physical strength beyond his years, is eager to put an end to his rejection streak of 50 and finally score a girlfriend as he begins his first year of shohoku high. however, his reputation for delinquency and destructiveness precedes him, and most of his fellow students subsequently avoid him like the plague. as his first day of school ends, he is left with two strong thoughts: ""i hate basketball"" and ""i need a girlfriend.""

haruko akagi, ignorant of hanamichi's history of misbehavior, notices his immense height and unwittingly approaches him, asking whether or not he likes basketball. overcome by the fact that a girl is speaking to him, the red-haired giant blurts out a yes despite his true feelings. at the gym, haruko asks if he can do a slam dunk. though a complete novice, hanamachi palms the ball and makes the leap...but overshoots, slamming his head into the backboard. amazed by his near-inhuman physical abilities, haruko quickly notifies the school's basketball captain of his feat. with this, hanamichi is unexpectedly thrust into a world of competition for a girl he barely knows, but he soon discovers that there is perhaps more to basketball than he once thought."
147272,The Greatest Estate Developer,The Greatest Estate Developer,Manhwa,"There is no bigger scum of the earth than Lloyd Frontera. He is the eldest son, yet all he does is drink and intimidate others, depleting what little is left of his family's wealth. The Fronteras' knight, Javier Asrahan, is destined to become a renowned swordmaster, and Lloyd's family will face pitiful deaths as their entire land falls to ruin under insurmountable debt.

Though at some point Kim Suho was an average civil engineering student in Korea, he suddenly wakes up on a dirt road as none other than Lloyd, an ungrateful hooligan from the beginning of a book following Javier, the protagonist. While a sassy status window offers some clarity about his new identity, Suho is rather worried about his imminent downfall.

To avoid becoming a beggar—and ultimately lead a sweet and comfortable life—Suho decides to fix Lloyd's scumbag image. With his engineering expertise and magical construction skills boost, Suho introduces modern innovations and city developments to this medieval-like world, drastically improving the people's quality of life—all for a nice sum of money.",Adventure Comedy Fantasy,Isekai Reincarnation,,"Moon, Back-kyung Kim, Hyunsoo",9.06,40658,9.0,213,84538,5191,Finished,222.0,https://myanimelist.net/images/manga/1/290131.jpg,"adventure comedy fantasy adventure comedy fantasy isekai reincarnation  moon, back-kyung kim, hyunsoo there is no bigger scum of the earth than lloyd frontera. he is the eldest son, yet all he does is drink and intimidate others, depleting what little is left of his family's wealth. the fronteras' knight, javier asrahan, is destined to become a renowned swordmaster, and lloyd's family will face pitiful deaths as their entire land falls to ruin under insurmountable debt.

though at some point kim suho was an average civil engineering student in korea, he suddenly wakes up on a dirt road as none other than lloyd, an ungrateful hooligan from the beginning of a book following javier, the protagonist. while a sassy status window offers some clarity about his new identity, suho is rather worried about his imminent downfall.

to avoid becoming a beggar—and ultimately lead a sweet and comfortable life—suho decides to fix lloyd's scumbag image. with his engineering expertise and magical construction skills boost, suho introduces modern innovations and city developments to this medieval-like world, drastically improving the people's quality of life—all for a nice sum of money."
70345,Grand Blue,Grand Blue Dreaming,Manga,"Among the seaside town of Izu's ocean waves and rays of shining sun, Iori Kitahara is just beginning his freshman year at Izu University. As he moves into his uncle's scuba diving shop, Grand Blue, he eagerly anticipates his dream college life, filled with beautiful girls and good friends.

But things don't exactly go according to plan. Upon entering the shop, he encounters a group of rowdy, naked upperclassmen, who immediately coerce him into participating in their alcoholic activities. Though unwilling at first, Iori quickly gives in and becomes the heart and soul of the party. Unfortunately, this earns him the scorn of his cousin, Chisa Kotegawa, who walks in at precisely the wrong time. Undeterred, Iori still vows to realize his ideal college life, but will things go according to plan this time, or will his situation take yet another dive?",Comedy,Adult Cast Gag Humor,Seinen,"Inoue, Kenji Yoshioka, Kimitake",9.05,76336,10.0,48,202060,19228,Publishing,,https://myanimelist.net/images/manga/2/166124.jpg,"comedy comedy adult cast gag humor seinen inoue, kenji yoshioka, kimitake among the seaside town of izu's ocean waves and rays of shining sun, iori kitahara is just beginning his freshman year at izu university. as he moves into his uncle's scuba diving shop, grand blue, he eagerly anticipates his dream college life, filled with beautiful girls and good friends.

but things don't exactly go according to plan. upon entering the shop, he encounters a group of rowdy, naked upperclassmen, who immediately coerce him into participating in their alcoholic activities. though unwilling at first, iori quickly gives in and becomes the heart and soul of the party. unfortunately, this earns him the scorn of his cousin, chisa kotegawa, who walks in at precisely the wrong time. undeterred, iori still vows to realize his ideal college life, but will things go according to plan this time, or will his situation take yet another dive?"
